"order_id","customer_name","product_name","order_type","unit_price","quantity_order","discount_percent","mobile_number"
"Pooja","Laptop","retail",567,45,67,86590645
"Pawan","AC","Retail",100,56,50,8798999
"Isha","Refrigrator","Wholesale",169,36,40,98767678
"Dev","TV","Retail",570,20,50,78971029
"Anisha","Laptop","Wholesale",571,40,55,97658910
"Chinmay","AC","Sell",572,60,20,79342860
"Nandini","WashingMachine","Sell",573,20,35,87889920
"Babita","Mobile","Retail",574,40,20,99824570
"Priti","AC","Wholesale",575,30,35,88694867
"Piyush","Tablet","Retail",576,50,40,98705434
"Pratham","Tablet","Retail",110,30,20,98765434
"Reyansh","Mobile","Wholesale",111,44,22,98705434
"Priyanka","AC","Retail",112,20,10,988705434
"Ekansh","Pallavi","sell",113,15,45,98705454
"Sara","PC","Purchsase",114,19,25,78705434
"Evaan","AC","Retail",115,34,40,987345634
"Rohan","Mobile","Retail",116,25,10,98678434
"Kajal","Cooler","Retail",117,30,15,9775434
"Priya","Tablet","Wholesale",118,30,20,96605434
"Akta","AC","Retail",119,20,20,98345434
"Payal","Tablet","Retail",120,50,30,7875434
"Sushma","Mobile","Wholesale",121,28,20,9895434
"Jyoti","Laptop","Retail",122,35,25,7869434
"Veena","PC","Retail",123,23,12,77789809
"Chiku","Tablet","Retail",124,50,25,9879894
"Shravani","TV","Retail",125,40,20,78975434
"Pawan","Tablet","Retail",126,25,15,8795434
"Pratham","Mobile","Sell",127,45,25,7896704
"Sakhi","Tablet","Purchase",128,50,40,98705434
"Sakhi","Mobile","Purchase",129,45,40,98705434
"Piyush","Tablet","Retail",130,50,40,98705434
"Sara","Tablet","Retail",130,35,15,88705434
"Raj","Laptop","Wholesale",132,50,40,77705434
"Sonali","TV","Sell",133,30,20,88964652
"Anjali","AC","Purchase",134,25,10,7987434
"Reyansh","Tablet","Retail",134,20,10,88898789
"Priya","PC","Wholesale",136,50,36,87778997
"Veena","Tablet","Retail",137,55,35,77654321
"Sanvi","Cooler","Purchase",138,39,23,709645768
"Tanu","Tablet","Retail",139,40,20,88885434
"Sanvi","Mobile","Wholesale",140,45,15,7878784
"Anjali","Tablet","Retail",141,30,20,99705434
"Sonu","Tablet","Wholesale",142,50,20,78705434
"Priyanka","Mobile","Retail",143,30,15,78705434
"Pooja","Tablet","Retail",143,30,20,77705434
"Monu","PC","Wholesale",145,20,10,99705434
"Priya","Tablet","Sell",146,40,20,76705434
"Piyush","AC","Retail",147,50,30,78543234
"Khushi","Tablet","Sell",148,45,20,87776544
"Soniya","TV","Retail",149,50,30,98234323
